character,keyword,reading,decomposition,spatial,ids,components_detail,tags
沱,to branch (of river),tuo2,it,⿰ (left-right),⿰氵它,它 = it,SC::L1
泯,to vanish,min3,people,⿰ (left-right),⿰氵民,民 = people,SC::L1
泓,vast and deep,hong2,noble / vast,⿰ (left-right),⿰氵弘,弘 = noble / vast,SC::L1
泾,Jing River,Jing1,spool,⿰ (left-right),⿰氵𢀖,𢀖 = spool,SC::L1
怙,father (formal),hu4,ancient / old,⿰ (left-right),⿰忄古,古 = ancient / old,SC::L1
怵,to fear,chu4,art,⿰ (left-right),⿰忄术,术 = art,SC::L1
怦,the thumping of one's heart,peng1,even,⿰ (left-right),⿰忄平,平 = even,SC::L1
怛,alarmed,da2,daybreak / nightbreak,⿰ (left-right),⿰忄旦,旦 = daybreak / nightbreak,SC::L1
怏,discontented,yang4,center,⿰ (left-right),⿰忄央,央 = center,SC::L1
怍,to be ashamed,zuo4,for the first time,⿰ (left-right),⿰忄乍,乍 = for the first time,SC::L1
㤘,(simplified form of 㥮) obstinate,zhou4,,⿰ (left-right),⿰忄刍,,SC::L1
怩,shy,ni2,nun,⿰ (left-right),⿰忄尼,尼 = nun,SC::L1
怫,anxious,fei4,dollar sign,⿰ (left-right),⿰忄弗,弗 = dollar sign,SC::L1
怿,rejoice,yi4,,⿰ (left-right),⿰忄𠬤,,SC::L1
宕,dissipated,dang4,house + stone,⿱ (top-bottom),⿱宀石,"宀 = house, 石 = stone",SC::L1
穹,vault,qiong2,hole + bow,⿱ (top-bottom),⿱穴弓,"穴 = hole, 弓 = bow",SC::L1
宓,surname Mi,Fu2,house + certainly / invariably,⿱ (top-bottom),⿱宀必,"宀 = house, 必 = certainly / invariably",SC::L1
诓,to mislead,kuang1,,⿰ (left-right),⿰讠匡,,SC::L1
诔,to eulogize the dead,lei3,Christmas tree,⿰ (left-right),⿰讠耒,耒 = Christmas tree,SC::L1
诖,to deceive,gua4,squared jewel,⿰ (left-right),⿰讠圭,圭 = squared jewel,SC::L1
诘,to question closely,jie2,lucky / good luck,⿰ (left-right),⿰讠吉,吉 = lucky / good luck,SC::L1
戾,to bend,li4,door + pooch / dog,⿸ (top-left-wrap),⿸户犬,"户 = door, 犬 = pooch / dog",SC::L1
诙,whimsical,hui1,ashes,⿰ (left-right),⿰讠灰,灰 = ashes,SC::L1
戽,water bucket for irrigation,hu4,door + big dipper / Big Dipper,⿸ (top-left-wrap),⿸户斗,"户 = door, 斗 = big dipper / Big Dipper",SC::L1
郓,an ancient town's name,yun4,army + pinnacle,⿰ (left-right),⿰军阝,"军 = army, 阝 = pinnacle",SC::L1
衩,open seam of a garment,cha3,fork / forked,⿰ (left-right),⿰衤叉,叉 = fork / forked,SC::L1
祆,"Ahura Mazda, the creator deity in Zoroastrianism",Xian1,heavens,⿰ (left-right),⿰礻天,天 = heavens,SC::L1
祎,excellent (2),yi1,tanned hide,⿰ (left-right),⿰礻韦,韦 = tanned hide,SC::L1
祉,felicity,zhi3,stop,⿰ (left-right),⿰礻止,止 = stop,SC::L1
祇,god of the earth,zhi3,family name,⿰ (left-right),⿰礻氏,氏 = family name,SC::L1
诛,to put (a criminal) to death,zhu1,vermillion / vermilion,⿰ (left-right),⿰讠朱,朱 = vermillion / vermilion,SC::L1
诜,to inform,shen1,before,⿰ (left-right),⿰讠先,先 = before,SC::L1
诟,disgrace,gou4,behind / queen / empress,⿰ (left-right),⿰讠后,后 = behind / queen / empress,SC::L1
诠,to explain,quan2,whole,⿰ (left-right),⿰讠全,全 = whole,SC::L1
诣,to go (to visit a superior),yi4,purpose / delicious,⿰ (left-right),⿰讠旨,旨 = purpose / delicious,SC::L1
诤,to warn sb of their errors,zheng4,contend,⿰ (left-right),⿰讠争,争 = contend,SC::L1
诧,to be surprised,cha4,dwelling / home,⿰ (left-right),⿰讠宅,宅 = dwelling / home,SC::L1
诨,jest,hun4,army,⿰ (left-right),⿰讠军,军 = army,SC::L1
诩,to brag,xu3,feathers,⿰ (left-right),⿰讠羽,羽 = feathers,SC::L1
戕,to kill,qiang1,bunk beds + halberd,⿰ (left-right),⿰爿戈,"爿 = bunk beds, 戈 = halberd",SC::L1
孢,spore,bao1,child + wrap,⿰ (left-right),⿰子包,"子 = child, 包 = wrap",SC::L1
亟,urgently,ji2,(-ed) / complete + sigh + one,⿱ (top-bottom),⿱⿻了叹一$(GPV[B]),"了 = (-ed) / complete, 叹 = sigh, 一 = one",SC::L1
陔,step,gai1,pinnacle + sign of the hog,⿰ (left-right),⿰阝亥,"阝 = pinnacle, 亥 = sign of the hog",SC::L1
妲,female personal name (archaic),Da2,woman + daybreak / nightbreak,⿰ (left-right),⿰女旦,"女 = woman, 旦 = daybreak / nightbreak",SC::L1
妯,used in 妯娌[zhou2 li5],zhou2,woman + wherefore,⿰ (left-right),⿰女由,"女 = woman, 由 = wherefore",SC::L1
姗,used in 姍姍|姗姗[shan1 shan1],shan1,woman + Vol.,⿰ (left-right),⿰女册,"女 = woman, 册 = Vol.",SC::L1
帑,state treasury,tang3,slave / guy + towel,⿱ (top-bottom),⿱奴巾,"奴 = slave / guy, 巾 = towel",SC::L1
弩,cross-bow,nu3,slave / guy + bow,⿱ (top-bottom),⿱奴弓,"奴 = slave / guy, 弓 = bow",SC::L1
孥,offspring,nu2,slave / guy + child,⿱ (top-bottom),⿱奴子,"奴 = slave / guy, 子 = child",SC::L1
驽,inferior horse,nu2,slave / guy + horse,⿱ (top-bottom),⿱奴马,"奴 = slave / guy, 马 = horse",SC::L1
虱,louse,shi1,,⿹ (top-right-wrap),⿹⺄䖝,,SC::L1
迦,character for transliteration,jia1,road + add,⿺ (bottom-left-wrap),⿺辶加,"辶 = road, 加 = add",SC::L1
迨,until,dai4,road + platform / pedestal,⿺ (bottom-left-wrap),⿺辶台,"辶 = road, 台 = platform / pedestal",SC::L1
绀,violet or purple,gan4,thread + sweet,⿰ (left-right),⿰纟甘,"纟 = thread, 甘 = sweet",SC::L1
绁,to tie,xie4,thread + generation,⿰ (left-right),⿰纟世,"纟 = thread, 世 = generation",SC::L1
绂,ribbon for a seal,fu2,thread + seeing-eye chihuahua,⿰ (left-right),⿰纟犮,"纟 = thread, 犮 = seeing-eye chihuahua",SC::L1
驷,team of 4 horses,si4,horse + four,⿰ (left-right),⿰马四,"马 = horse, 四 = four",SC::L1
驸,prince consort,fu4,horse + pay / adhere,⿰ (left-right),⿰马付,"马 = horse, 付 = pay / adhere",SC::L1
绉,crepe,zhou4,thread,⿰ (left-right),⿰纟刍,纟 = thread,SC::L1
绌,crimson silk,chu4,thread + exit,⿰ (left-right),⿰纟出,"纟 = thread, 出 = exit",SC::L1
驿,post horse,yi4,horse,⿰ (left-right),⿰马𠬤,马 = horse,SC::L1
骀,worn out horse,tai2,horse + platform / pedestal,⿰ (left-right),⿰马台,"马 = horse, 台 = platform / pedestal",SC::L1
甾,steroid nucleus,zai1,rice field,⿱ (top-bottom),⿱巛田,田 = rice field,SC::L1
珏,gems mounted together,jue2,jade / jewel,⿰ (left-right),⿰𤣩玉,玉 = jade / jewel,SC::L1
珐,used in 琺瑯|珐琅[fa4 lang2],fa4,go / gone,⿰ (left-right),⿰𤣩去,去 = go / gone,SC::L1
珂,inferior kind of jade,ke1,can,⿰ (left-right),⿰𤣩可,可 = can,SC::L1
珑,tinkling of gem-pendants,long2,dragon,⿰ (left-right),⿰𤣩龙,龙 = dragon,SC::L1
玳,tortoise shell,dai4,substitute for,⿰ (left-right),⿰𤣩代,代 = substitute for,SC::L1
珀,used in 琥珀[hu3 po4],po4,white,⿰ (left-right),⿰𤣩白,白 = white,SC::L1
顸,dawdling,han1,dry / offend + page,⿰ (left-right),⿰干页,"干 = dry / offend, 页 = page",SC::L1
珉,"alabaster, jade-like stone",min2,people,⿰ (left-right),⿰𤣩民,民 = people,SC::L1
珈,gamma,jia1,add,⿰ (left-right),⿰𤣩加,加 = add,SC::L1
拮,antagonistic,jie2,fingers + lucky / good luck,⿰ (left-right),⿰扌吉,"扌 = fingers, 吉 = lucky / good luck",SC::L1
垭,strip of land between hills,ya1,soil + Asia,⿰ (left-right),⿰土亚,"土 = soil, 亚 = Asia",SC::L1
挝,used 老撾|老挝[Lao3 wo1],wo1,fingers + cross,⿰ (left-right),⿰扌过,"扌 = fingers, 过 = cross",SC::L1
垣,low wall,yuan2,soil,⿰ (left-right),⿰土亘,土 = soil,SC::L1
挞,to whip,ta4,fingers + reach,⿰ (left-right),⿰扌达,"扌 = fingers, 达 = reach",SC::L1
垤,anthill,die2,soil + until / climax,⿰ (left-right),⿰土至,"土 = soil, 至 = until / climax",SC::L1
赳,grand (2),jiu1,walk / run + cornucopia,⿺ (bottom-left-wrap),⿺走丩,"走 = walk / run, 丩 = cornucopia",SC::L1
垱,earthen dyke in a river or rice paddy (for irrigation purposes),dang4,soil + work as / hit,⿰ (left-right),⿰土当,"土 = soil, 当 = work as / hit",SC::L1
垌,field,dong4,soil + same,⿰ (left-right),⿰土同,"土 = soil, 同 = same",SC::L1
郝,place in modern Shanxi,Hao3,crimson / red + pinnacle,⿰ (left-right),⿰赤阝,"赤 = crimson / red, 阝 = pinnacle",SC::L1
垧,"unit of land area (equivalent to 10 or 15 mǔ 畝|亩[mu3] in parts of northeast China, but only 3 or 5 mǔ in northwest China)",shang3,soil + orientation / yonder,⿰ (left-right),⿰土向,"土 = soil, 向 = orientation / yonder",SC::L1
垓,frontier,gai1,soil + sign of the hog,⿰ (left-right),⿰土亥,"土 = soil, 亥 = sign of the hog",SC::L1
挦,to pull out (esp. hair or feathers),xian2,fingers + seek,⿰ (left-right),⿰扌寻,"扌 = fingers, 寻 = seek",SC::L1
垠,river bank,yin2,soil + silver,⿰ (left-right),⿰土艮,"土 = soil, 艮 = silver",SC::L1
茜,Indian madder,qian4,flower + west,⿱ (top-bottom),⿱艹西,"艹 = flower, 西 = west",SC::L1
荚,pod (botany),jia2,flower + press from both sides,⿱ (top-bottom),⿱艹夹,"艹 = flower, 夹 = press from both sides",SC::L1
荑,sprouts,ti2,flower + barbarian / ebisu,⿱ (top-bottom),⿱艹夷,"艹 = flower, 夷 = barbarian / ebisu",SC::L1
贳,to borrow,shi4,generation + shellfish,⿱ (top-bottom),⿱世贝,"世 = generation, 贝 = shellfish",SC::L1
荜,pulse,bi4,flower + complete,⿱ (top-bottom),⿱艹毕,"艹 = flower, 毕 = complete",SC::L1
莒,Zhou Dynasty vassal state in modern day Shandong Province,Ju3,flower + spine,⿱ (top-bottom),⿱艹吕,"艹 = flower, 吕 = spine",SC::L1
茼,Chrysanthemum coronarium,tong2,flower + same,⿱ (top-bottom),⿱艹同,"艹 = flower, 同 = same",SC::L1
茴,fennel,hui2,flower + return / -times,⿱ (top-bottom),⿱艹回,"艹 = flower, 回 = return / -times",SC::L1
茱,used in 茱萸[zhu1 yu2],zhu1,flower + vermillion / vermilion,⿱ (top-bottom),⿱艹朱,"艹 = flower, 朱 = vermillion / vermilion",SC::L1
莛,stalk of grass,ting2,flower + royal court / courts,⿱ (top-bottom),⿱艹廷,"艹 = flower, 廷 = royal court / courts",SC::L1
荞,common mallow (Malva sinensis),qiao2,flower + pretend,⿱ (top-bottom),⿱艹乔,"艹 = flower, 乔 = pretend",SC::L1
茯,used in 茯苓[fu2 ling2],fu2,flower + bend over / prostrated,⿱ (top-bottom),⿱艹伏,"艹 = flower, 伏 = bend over / prostrated",SC::L1
荏,beefsteak plant (Perilla frutescens),ren3,flower + appoint / responsibility,⿱ (top-bottom),⿱艹任,"艹 = flower, 任 = appoint / responsibility",SC::L1
荇,yellow floating heart (Nymphoides peltatum),xing4,flower + line of business / going,⿱ (top-bottom),⿱艹行,"艹 = flower, 行 = line of business / going",SC::L1
荃,aromatic herb,quan2,flower + whole,⿱ (top-bottom),⿱艹全,"艹 = flower, 全 = whole",SC::L1
荟,to flourish,hui4,flower + meeting,⿱ (top-bottom),⿱艹会,"艹 = flower, 会 = meeting",SC::L1
荀,surname Xun,Xun2,flower + decameron,⿱ (top-bottom),⿱艹旬,"艹 = flower, 旬 = decameron",SC::L1
茗,Thea sinensis,ming2,flower + name,⿱ (top-bottom),⿱艹名,"艹 = flower, 名 = name",SC::L1
荠,used in 荸薺|荸荠[bi2 qi2],ji4,flower + identical,⿱ (top-bottom),⿱艹齐,"艹 = flower, 齐 = identical",SC::L1
茭,Zizania aquatica,jiao1,flower + mingle,⿱ (top-bottom),⿱艹交,"艹 = flower, 交 = mingle",SC::L1
茨,Caltrop or puncture vine (Tribulus terrestris),ci2,flower + next,⿱ (top-bottom),⿱艹次,"艹 = flower, 次 = next",SC::L1
垩,to whitewash,e4,Asia + soil,⿱ (top-bottom),⿱亚土,"亚 = Asia, 土 = soil",SC::L1
荥,used in 滎陽|荥阳[Xing2 yang2] (the name of a place in Henan),xing2,water,⿱ (top-bottom),⿱𫇦水,水 = water,SC::L1
荦,brindled ox,luo4,cow,⿱ (top-bottom),⿱𫇦牛,牛 = cow,SC::L1
荨,used in 蕁麻|荨麻[qian2 ma2],qian2,flower + seek,⿱ (top-bottom),⿱艹寻,"艹 = flower, 寻 = seek",SC::L1
荩,Arthraxon ciliare,jin4,flower + exhausted,⿱ (top-bottom),⿱艹尽,"艹 = flower, 尽 = exhausted",SC::L1
剋,"Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God",Ke4,overcome,⿺ (bottom-left-wrap),⿺克刂,克 = overcome,SC::L1
荪,fragrant grass,sun1,flower + grandchild,⿱ (top-bottom),⿱艹孙,"艹 = flower, 孙 = grandchild",SC::L1
茹,surname Ru,Ru2,flower + be like / likeness,⿱ (top-bottom),⿱艹如,"艹 = flower, 如 = be like / likeness",SC::L1
荬,used in 苣蕒菜|苣荬菜[qu3 mai5 cai4],mai3,flower + buy,⿱ (top-bottom),⿱艹买,"艹 = flower, 买 = buy",SC::L1
荮,to wrap with straw,zhou4,flower,⿱ (top-bottom),⿱艹纣,艹 = flower,SC::L1
柰,Chinese pearleaf crabapple (Malus asiatica),nai4,tree + show,⿱ (top-bottom),⿱木示,"木 = tree, 示 = show",SC::L1
栉,to comb,zhi4,tree + holiday,⿰ (left-right),⿰木节,"木 = tree, 节 = holiday",SC::L1
柯,surname Ke,Ke1,tree + can,⿰ (left-right),⿰木可,"木 = tree, 可 = can",SC::L1
柘,a thorny tree,zhe4,tree + stone,⿰ (left-right),⿰木石,"木 = tree, 石 = stone",SC::L1
栊,cage for animals,long2,tree + dragon,⿰ (left-right),⿰木龙,"木 = tree, 龙 = dragon",SC::L1
柩,bier,jiu4,tree,⿰ (left-right),⿰木匛,木 = tree,SC::L1
枰,chess-like game,ping2,tree + even,⿰ (left-right),⿰木平,"木 = tree, 平 = even",SC::L1
栌,capital (of column),lu2,tree + Louvre,⿰ (left-right),⿰木卢,"木 = tree, 卢 = Louvre",SC::L1
柙,scabbard,xia2,tree + first / armor,⿰ (left-right),⿰木甲,"木 = tree, 甲 = first / armor",SC::L1
枵,hollow of a tree,xiao1,tree + appellation / nickname,⿰ (left-right),⿰木号,"木 = tree, 号 = appellation / nickname",SC::L1
柚,pomelo (Citrus maxima or C. grandis),you4,tree + wherefore,⿰ (left-right),⿰木由,"木 = tree, 由 = wherefore",SC::L1
枳,hedge thorn,zhi3,tree + only,⿰ (left-right),⿰木只,"木 = tree, 只 = only",SC::L1
柞,used in 柞水[Zha4 shui3] (the name of a place in Shaanxi),zha4,tree + for the first time,⿰ (left-right),⿰木乍,"木 = tree, 乍 = for the first time",SC::L1
柝,watchman's rattle (2),tuo4,tree + reprimand / reject,⿰ (left-right),⿰木斥,"木 = tree, 斥 = reprimand / reject",SC::L1
栀,gardenia,zhi1,tree,⿰ (left-right),⿰木卮,木 = tree,SC::L1
柢,bottom of object,di3,tree + calling card,⿰ (left-right),⿰木氐,"木 = tree, 氐 = calling card",SC::L1
栎,oak,li4,tree + music,⿰ (left-right),⿰木乐,"木 = tree, 乐 = music",SC::L1
枸,bent,gou1,tree + sentence / phrase,⿰ (left-right),⿰木句,"木 = tree, 句 = sentence / phrase",SC::L1
柈,plate,pan2,tree + half,⿰ (left-right),⿰木半,"木 = tree, 半 = half",SC::L1
柁,main beam of roof,tuo2,tree + it,⿰ (left-right),⿰木它,"木 = tree, 它 = it",SC::L1
枷,cangue (wooden collar like stocks used to restrain and punish criminals in China),jia1,tree + add,⿰ (left-right),⿰木加,"木 = tree, 加 = add",SC::L1
柽,tamarisk,cheng1,tree + holy,⿰ (left-right),⿰木圣,"木 = tree, 圣 = holy",SC::L1
剌,perverse,la2,bundle up,⿰ (left-right),⿰束刂,束 = bundle up,SC::L1
酊,tincture (loanword),ding1,sign of the bird + fourth / street,⿰ (left-right),⿰酉丁,"酉 = sign of the bird, 丁 = fourth / street",SC::L1
郦,surname Li,Li4,lovely + pinnacle,⿰ (left-right),⿰丽阝,"丽 = lovely, 阝 = pinnacle",SC::L1
甭,contracted form of 不用[bu4 yong4],beng2,no / negative + utilize,⿱ (top-bottom),⿱不用,"不 = no / negative, 用 = utilize",SC::L1
砗,used in 硨磲|砗磲[che1 qu2],che1,stone + car,⿰ (left-right),⿰石车,"石 = stone, 车 = car",SC::L1
砘,to compact loose soil with a stone roller after sowing seeds,dun4,stone + stockpile / barracks,⿰ (left-right),⿰石屯,"石 = stone, 屯 = stockpile / barracks",SC::L1
砒,arsenic,pi1,stone + compare,⿰ (left-right),⿰石比,"石 = stone, 比 = compare",SC::L1
斫,to chop,zhuo2,stone + catty / ax,⿰ (left-right),⿰石斤,"石 = stone, 斤 = catty / ax",SC::L1
砭,ancient stone acupuncture needle,bian1,stone + weary / destitution,⿰ (left-right),⿰石乏,"石 = stone, 乏 = weary / destitution",SC::L1
砜,sulfone,feng1,stone + wind,⿰ (left-right),⿰石风,"石 = stone, 风 = wind",SC::L1
奎,crotch,kui2,large + squared jewel,⿱ (top-bottom),⿱大圭,"大 = large, 圭 = squared jewel",SC::L1
耷,big ears,da1,large + ear,⿱ (top-bottom),⿱大耳,"大 = large, 耳 = ear",SC::L1
虺,sick,hui1,insect,⿺ (bottom-left-wrap),⿺兀虫,虫 = insect,SC::L1
殂,to die,cu2,malicious + moreover,⿰ (left-right),⿰歹且,"歹 = malicious, 且 = moreover",SC::L1
殇,to die in childhood,shang1,malicious + reclining (also: lying (down)) + piglets,⿰ (left-right),⿰歹⿱𠂉𠃓,"歹 = malicious, 𠂉 = reclining (also: lying (down)), 𠃓 = piglets",SC::L1
殄,to exterminate,tian3,malicious + cocktail,⿰ (left-right),⿰歹㐱,"歹 = malicious, 㐱 = cocktail",SC::L1
殆,dangerous,dai4,malicious + platform / pedestal,⿰ (left-right),⿰歹台,"歹 = malicious, 台 = platform / pedestal",SC::L1
轱,used in 軲轆|轱辘[gu1 lu5],gu1,car + ancient / old,⿰ (left-right),⿰车古,"车 = car, 古 = ancient / old",SC::L1
轲,given name of Mencius,Ke1,car + can,⿰ (left-right),⿰车可,"车 = car, 可 = can",SC::L1
轳,used in 轆轤|辘轳[lu4 lu5],lu2,car + Louvre,⿰ (left-right),⿰车卢,"车 = car, 卢 = Louvre",SC::L1
轶,to excel,yi4,car + lose,⿰ (left-right),⿰车失,"车 = car, 失 = lose",SC::L1
轸,square,zhen3,car + cocktail,⿰ (left-right),⿰车㐱,"车 = car, 㐱 = cocktail",SC::L1
虿,an insect,chai4,ten thousand + insect,⿱ (top-bottom),⿱万虫,"万 = ten thousand, 虫 = insect",SC::L1
毖,to prevent,bi4,compare + certainly / invariably,⿱ (top-bottom),⿱比必,"比 = compare, 必 = certainly / invariably",SC::L1
觇,to observe,chan1,tell fortunes / fortune-telling + see,⿰ (left-right),⿰占见,"占 = tell fortunes / fortune-telling, 见 = see",SC::L1
尜,toy formed of a spindle with two sharp ends,ga2,tip / sharp point + small / little,⿱ (top-bottom),⿱尖小,"尖 = tip / sharp point, 小 = small / little",SC::L1
哐,crash,kuang1,mouth,⿰ (left-right),⿰口匡,口 = mouth,SC::L1
眄,to ogle at,mian3,eye,⿰ (left-right),⿰目丏,目 = eye,SC::L1
眍,to sink in (of eyes),kou1,eye + region / ward,⿰ (left-right),⿰目区,"目 = eye, 区 = region / ward",SC::L1
𠳐,bang (door slamming shut etc),bang1,mouth + nation / home country,⿰ (left-right),⿰口邦,"口 = mouth, 邦 = nation / home country",SC::L1
郢,"Ying, ancient capital of Chu 楚 in Hubei, Jianling county 江陵縣|江陵县",Ying3,submit / display + pinnacle,⿰ (left-right),⿰呈阝,"呈 = submit / display, 阝 = pinnacle",SC::L1
眇,blind in one eye,miao3,eye + few,⿰ (left-right),⿰目少,"目 = eye, 少 = few",SC::L1
眊,having poor eyesight,mao4,eye + fur,⿰ (left-right),⿰目毛,"目 = eye, 毛 = fur",SC::L1
眈,used in 眈眈[dan1 dan1],dan1,eye + Frankenbowser Rex,⿰ (left-right),⿰目冘,"目 = eye, 冘 = Frankenbowser Rex",SC::L1
哂,to smile,shen3,mouth + west,⿰ (left-right),⿰口西,"口 = mouth, 西 = west",SC::L1
咴,neigh,hui1,mouth + ashes,⿰ (left-right),⿰口灰,"口 = mouth, 灰 = ashes",SC::L1
昱,bright light,yu4,day + standing up / stand up,⿱ (top-bottom),⿱日立,"日 = day, 立 = standing up / stand up",SC::L1
昵,familiar,ni4,day + nun,⿰ (left-right),⿰日尼,"日 = day, 尼 = nun",SC::L1
咦,expression of surprise,yi2,mouth + barbarian / ebisu,⿰ (left-right),⿰口夷,"口 = mouth, 夷 = barbarian / ebisu",SC::L1
哓,a cry of alarm,xiao1,mouth + Yao,⿰ (left-right),⿰口尧,"口 = mouth, 尧 = Yao",SC::L1
哔,used in transliterations,bi4,mouth + complete,⿰ (left-right),⿰口毕,"口 = mouth, 毕 = complete",SC::L1
畎,field drains,quan3,rice field + pooch / dog,⿰ (left-right),⿰田犬,"田 = rice field, 犬 = pooch / dog",SC::L1
毗,to adjoin,pi2,rice field + compare,⿰ (left-right),⿰田比,"田 = rice field, 比 = compare",SC::L1
呲,to rebuke,ci1,mouth + this (literary) / this here,⿰ (left-right),⿰口此,"口 = mouth, 此 = this (literary) / this here",SC::L1
胄,headpiece,zhou4,wherefore,⿱ (top-bottom),⿱由⺝,由 = wherefore,SC::L1
畋,to cultivate (land),tian2,rice field + taskmaster,⿰ (left-right),⿰田攵,"田 = rice field, 攵 = taskmaster",SC::L1
畈,farm,fan4,rice field + against / anti-,⿰ (left-right),⿰田反,"田 = rice field, 反 = against / anti-",SC::L1
虼,used in 虼蚤[ge4 zao5],ge4,insect + beg,⿰ (left-right),⿰虫乞,"虫 = insect, 乞 = beg",SC::L1
虻,horsefly,meng2,insect + deceased,⿰ (left-right),⿰虫亡,"虫 = insect, 亡 = deceased",SC::L1
盅,handleless cup,zhong1,middle / in + dish,⿱ (top-bottom),⿱中皿,"中 = middle / in, 皿 = dish",SC::L1
咣,door banging shut,guang1,mouth + ray,⿰ (left-right),⿰口光,"口 = mouth, 光 = ray",SC::L1
哕,used in 噦噦|哕哕[hui4 hui4],hui4,mouth + years of age,⿰ (left-right),⿰口岁,"口 = mouth, 岁 = years of age",SC::L1
剐,cut off the flesh as punishment,gua3,esophagus,⿰ (left-right),⿰呙刂,呙 = esophagus,SC::L1
郧,county in Hubei province,yun2,employee + pinnacle,⿰ (left-right),⿰员阝,"员 = employee, 阝 = pinnacle",SC::L1
咻,jeer,xiu1,mouth + rest,⿰ (left-right),⿰口休,"口 = mouth, 休 = rest",SC::L1
囿,to limit,you4,pent in + possess,⿴ (surround),⿴囗有,"囗 = pent in, 有 = possess",SC::L1
咿,to squeak,yi1,mouth + Queen Elizabeth / Italy,⿰ (left-right),⿰口伊,"口 = mouth, 伊 = Queen Elizabeth / Italy",SC::L1
哌,used in transliteration (2),pai4,mouth,⿰ (left-right),⿰口𠂢,口 = mouth,SC::L1
哙,surname Kuai,Kuai4,mouth + meeting,⿰ (left-right),⿰口会,"口 = mouth, 会 = meeting",SC::L1
哚,(Cant.) backing,duo3,mouth + flouds,⿰ (left-right),⿰口朵,"口 = mouth, 朵 = flouds",SC::L1
咯,to cough up,ge1,mouth + each,⿰ (left-right),⿰口各,"口 = mouth, 各 = each",SC::L1
咩,the bleating of sheep,mie1,mouth + sheep,⿰ (left-right),⿰口羊,"口 = mouth, 羊 = sheep",SC::L1
咤,used in 叱咤[chi4 zha4],zha4,mouth + dwelling / home,⿰ (left-right),⿰口宅,"口 = mouth, 宅 = dwelling / home",SC::L1
哝,to mutter,nong2,mouth + agriculture,⿰ (left-right),⿰口农,"口 = mouth, 农 = agriculture",SC::L1
哏,funny,gen2,mouth + silver,⿰ (left-right),⿰口艮,"口 = mouth, 艮 = silver",SC::L1
哞,moo (sound made by cow),mou1,mouth,⿰ (left-right),⿰口牟,口 = mouth,SC::L1
峙,"used in 繁峙[Fan2 shi4], a county in Shanxi",shi4,mountain + Buddhist temple,⿰ (left-right),⿰山寺,"山 = mountain, 寺 = Buddhist temple",SC::L1
峣,to tower,yao2,mountain + Yao,⿰ (left-right),⿰山尧,"山 = mountain, 尧 = Yao",SC::L1
罘,screen used in ancient times,fu2,no / negative,⿱ (top-bottom),⿱罒不,不 = no / negative,SC::L1
帧,classifier for paintings etc,zhen1,towel + chaste,⿰ (left-right),⿰巾贞,"巾 = towel, 贞 = chaste",SC::L1
峒,mountain in Gansu province,dong4,mountain + same,⿰ (left-right),⿰山同,"山 = mountain, 同 = same",SC::L1
峤,highest peak,jiao4,mountain + pretend,⿰ (left-right),⿰山乔,"山 = mountain, 乔 = pretend",SC::L1
峋,used in 嶙峋[lin2 xun2],xun2,mountain + decameron,⿰ (left-right),⿰山旬,"山 = mountain, 旬 = decameron",SC::L1
峥,used in 崢嶸|峥嵘[zheng1 rong2],zheng1,mountain + contend,⿰ (left-right),⿰山争,"山 = mountain, 争 = contend",SC::L1
贶,to bestow,kuang4,shellfish + elder brother,⿰ (left-right),⿰贝兄,"贝 = shellfish, 兄 = elder brother",SC::L1
钚,plutonium (chemistry),bu4,no / negative,⿰ (left-right),⿰钅不,不 = no / negative,SC::L1
钛,titanium (chemistry),tai4,overly / plump,⿰ (left-right),⿰钅太,太 = overly / plump,SC::L1
钡,barium (chemistry),bei4,shellfish,⿰ (left-right),⿰钅贝,贝 = shellfish,SC::L1
钣,metal plate,ban3,against / anti-,⿰ (left-right),⿰钅反,反 = against / anti-,SC::L1
钤,latch of door,qian2,now,⿰ (left-right),⿰钅今,今 = now,SC::L1
钨,tungsten (chemistry),wu1,crow,⿰ (left-right),⿰钅乌,乌 = crow,SC::L1
钫,francium (chemistry),fang1,direction,⿰ (left-right),⿰钅方,方 = direction,SC::L1
钯,palladium (chemistry),ba3,crust / comma-design,⿰ (left-right),⿰钅巴,巴 = crust / comma-design,SC::L1
氡,radon (chemistry),dong1,air + winter,⿹ (top-right-wrap),⿹气冬,"气 = air, 冬 = winter",SC::L1
氟,fluorine (chemistry),fu2,air + dollar sign,⿹ (top-right-wrap),⿹气弗,"气 = air, 弗 = dollar sign",SC::L1
牯,bullock,gu3,ancient / old,⿰ (left-right),⿰牜古,古 = ancient / old,SC::L1
郜,surname Gao,Gao4,declare / revelation + pinnacle,⿰ (left-right),⿰告阝,"告 = declare / revelation, 阝 = pinnacle",SC::L1
秕,grain not fully grown,bi3,standing grain + compare,⿰ (left-right),⿰禾比,"禾 = standing grain, 比 = compare",SC::L1
秭,billion,zi3,standing grain,⿰ (left-right),⿰禾𠂔,禾 = standing grain,SC::L1
竽,"free reed wind instrument similar to the sheng 笙[sheng1], used in ancient China",yu2,Yu,⿱ (top-bottom),⿱𥫗于,于 = Yu,SC::L1
笈,trunks (for books),ji2,catch up with / reach out,⿱ (top-bottom),⿱𥫗及,及 = catch up with / reach out,SC::L1
