character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
怯,wince,,,2275,,heart + go,⿰ (left-right),⿰忄去,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">去</span> <span style=""color:#666"">go</span>",RTK,RTK3v2::CH02
总,general,,566,,"zǒng: always, to assemble, gather, total",animal horns + mouth + heart,⿱ (top-bottom),⿱𠮦心,"<span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH,RSH1::L21
恆,permanent,1764,,,"héng: permanent, constant, fixed, usual",heart + floor + {122} + eyedropper,⿰ (left-right),⿰忄亙,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTH,RTH2::L21
恋,be enamored of / romance,,1494,1748,"liàn: to feel attached to, to long for, to love",apple + heart,⿱ (top-bottom),⿱𰁜心,"<span style=""color:#1a5276"">亦</span> <span style=""color:#666"">likewise</span> <span style=""color:#999"">(alias: apple)</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTK,RSH1::L55 RTK1v5::L45
恍,all of a sudden,1761,1808,,"huǎng: variant of 恍[huǎng], disappointed, flurried, indistinct",state of mind + ray,⿰ (left-right),⿰忄光,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">光</span> <span style=""color:#666"">ray</span>",RSH RTH,RSH2::L21 RTH2::L21
恐,fear,539,575,613,"kǒng: afraid, frightened, to fear",work + ordinary + heart,⿱ (top-bottom),⿱巩心,"<span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span><br><span style=""color:#1a5276"">凡</span> <span style=""color:#666"">ordinary</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH1::L21 RTH1::L21 RTK1v5::L22
恒,permanent / constancy,,1798,620,"héng: permanent, constant, fixed, usual","state of mind + sunrise, sunset",⿰ (left-right),⿰忄亘,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">宣</span> <span style=""color:#666"">proclaim</span> <span style=""color:#999"">(alias: sunrise, sunset)</span>",RSH RTK,RSH2::L21 RTK1v5::L22
恕,pardon / sensitive,1759,1791,2434,shù: to forgive,be like + heart,⿱ (top-bottom),⿱如心,"<span style=""color:#1a5276"">如</span> <span style=""color:#666"">be like</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK3v2::CH02
恢,immense / enlarge,1763,1804,2282,"huī: to restore, to recover, great",state of mind + ashes,⿰ (left-right),⿰忄灰,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">灰</span> <span style=""color:#666"">ashes</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK3v2::CH02
恣,selfish,,,3014,,next + dropdrop + hook + eyedropper + eyedropper,⿱ (top-bottom),⿱次心,"<span style=""color:#1a5276"">次</span> <span style=""color:#666"">next</span> <span style=""color:#999"">(alias: secondary)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTK,RTK1v5::Sup.
恥,shame,1914,,823,"chǐ: shame, disgrace",ear + dropdrop + hook + eyedropper + eyedropper,⿰ (left-right),⿰耳心,"<span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTH RTK,RTH2::L24 RTK1v5::L25
恨,hate / resentment,2441,2512,1460,"hèn: to hate, to regret",state of mind + silver,⿰ (left-right),⿰忄艮,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">艮</span> <span style=""color:#666"">silver</span>",RSH RTH RTK,RSH2::L37 RTH2::L37 RTK1v5::L38
恩,kindness / grace,1783,570,606,"ēn: favor, grace, kindness",cause + heart,⿱ (top-bottom),⿱因心,"<span style=""color:#1a5276"">因</span> <span style=""color:#666"">cause</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH1::L21 RTH2::L21 RTK1v5::L22
恭,respectful,2696,2767,1803,gōng: respectful,together + valentine,⿱ (top-bottom),⿱共⺗,"<span style=""color:#1a5276"">共</span> <span style=""color:#666"">together</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: valentine)</span>",RSH RTH RTK,RSH2::L46 RTH2::L46 RTK1v5::L47
息,breath,538,574,610,"xī: breath, news, interest (on an investment or loan), to cease",nose + heart,⿱ (top-bottom),⿱自心,"<span style=""color:#1a5276"">自</span> <span style=""color:#666"">oneself</span> <span style=""color:#999"">(alias: nose)</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH1::L21 RTH1::L21 RTK1v5::L22
恰,just right / as if,1766,1809,2281,"qià: exactly, just",state of mind + fit,⿰ (left-right),⿰忄合,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">合</span> <span style=""color:#666"">fit</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK3v2::CH02
恳,wholeheartedly,,2507,,kěn: earnest,silver + heart,⿱ (top-bottom),⿱艮心,"<span style=""color:#1a5276"">艮</span> <span style=""color:#666"">silver</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH,RSH2::L37
恵,favor,,,612,,floor + shoot + dropdrop + hook + eyedropper + eyedropper,⿱ (top-bottom),⿱𤰔心,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">由</span> <span style=""color:#666"">wherefore</span> <span style=""color:#999"">(alias: shoot)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTK,RTK1v5::L22
恶,evil,,1354,,"ě: variant of 惡|恶[ě], esp. used in names of chemical components, see 惡心|恶心[ě xīn] | è: evil, fierce, vicious, ugly | wù: to hate, to loathe, ashamed, to fear",Asia + heart,⿱ (top-bottom),⿱亚心,"<span style=""color:#1a5276"">亚</span> <span style=""color:#666"">Asia</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH,RSH1::L46
恼,annoyed,,1179,,nǎo: to get angry,state of mind + Fagin,⿰ (left-right),⿰忄㐫,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">㐫</span> <span style=""color:#666"">Fagin</span>",RSH,RSH1::L38
悄,noiseless,1760,1807,,"qiǎo: quiet, sad",state of mind + candle,⿰ (left-right),⿰忄肖,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">肖</span> <span style=""color:#666"">resemble</span> <span style=""color:#999"">(alias: candle)</span>",RSH RTH,RSH2::L21 RTH2::L21
悅,delighted,1776,,,yuè: pleased,heart + drop + ㇏ + teenager,⿰ (left-right),⿰忄兌,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">兄</span> <span style=""color:#666"">elder brother</span> <span style=""color:#999"">(alias: teenager)</span>",RTH,RTH2::L21
悉,be informed / without exception,2790,2846,2430,"xī: in all cases, know",droppings + heart,⿱ (top-bottom),⿱釆心,"<span style=""color:#1a5276"">釆</span> <span style=""color:#666"">droppings</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L51 RTH2::L51 RTK3v2::CH02
悌,respect for elders,,,2283,,heart + younger brother,⿰ (left-right),⿰忄弟,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">弟</span> <span style=""color:#666"">younger brother</span>",RTK,RTK3v2::CH02
悍,bold,2579,2646,,"hàn: heroic, intrepid, valiant, dauntless",state of mind + drought,⿰ (left-right),⿰忄旱,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">旱</span> <span style=""color:#666"">drought</span>",RSH RTH,RSH2::L42 RTH2::L42
悔,be sorry about / repent,1774,1818,625,huǐ: to regret,state of mind + every,⿰ (left-right),⿰忄每,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">每</span> <span style=""color:#666"">every</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
悛,make amends,,,2059,,heart + streetwalker,⿰ (left-right),⿰忄夋,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">夋</span> <span style=""color:#666"">streetwalker</span>",RTK,RTK3v2::CH01
悟,realize / enlightenment,1755,1799,622,"wù: to comprehend, to apprehend, to become aware",state of mind + I (literary),⿰ (left-right),⿰忄吾,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">吾</span> <span style=""color:#666"">I (literary)</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
悠,without haste / remote,2023,2090,958,"yōu: long or drawn out, remote in time or space, leisurely, to swing",person + walking stick + taskmaster + heart,⿱ (top-bottom),⿱攸心,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">攵</span> <span style=""color:#666"">taskmaster</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L26 RTH2::L26 RTK1v5::L27
患,troubles / afflicted,1781,1796,604,"huàn: to suffer (from illness), to contract (a disease), misfortune, trouble",shish kebab + heart,⿱ (top-bottom),⿱串心,"<span style=""color:#1a5276"">串</span> <span style=""color:#666"">string together</span> <span style=""color:#999"">(alias: shish kebab)</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
悦,delighted / ecstasy,,1815,619,yuè: pleased,state of mind + devil,⿰ (left-right),⿰忄兑,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">兑</span> <span style=""color:#666"">convert</span> <span style=""color:#999"">(alias: devil)</span>",RSH RTK,RSH2::L21 RTK1v5::L22
您,you (respectful),742,800,,"nín: you (courteous, as opposed to informal 你[nǐ])",person + heart,⿱ (top-bottom),⿱你心,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH,RSH1::L26 RTH1::L26
悩,trouble,,,1935,,heart + eyedropper + eyedropper + dropdrop + cruel,⿰ (left-right),⿰忄⿱𭕄凶,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">凶</span> <span style=""color:#666"">cruel</span>",RTK,RTK1v5::L53
悪,bad,,,1810,,floor + mouth + walking stick + walking stick + floor + dropdrop + hook + eyedropper + eyedropper,⿱ (top-bottom),⿱亜心,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTK,RTK1v5::L48
悬,suspend,,1482,,"xuán: to hang or suspend, to worry, public announcement, unresolved",county + heart,⿱ (top-bottom),⿱县心,"<span style=""color:#1a5276"">县</span> <span style=""color:#666"">county</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH,RSH1::L55
悲,sad,2562,2634,1635,"bēi: sad, sadness, sorrow, grief",jail cell + heart,⿱ (top-bottom),⿱非心,"<span style=""color:#1a5276"">非</span> <span style=""color:#666"">non-</span> <span style=""color:#999"">(alias: jail cell)</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L41 RTH2::L41 RTK1v5::L42
悶,stuffy / agony,2553,,2775,"mēn: stuffy, shut indoors, to smother, to cover tightly | mèn: bored, depressed, melancholy, sealed",walking stick + {50} + floor + box + floor + 亅 + dropdrop + hook + eyedropper + eyedropper,⿵ (surround-open-bottom),⿵門心,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTH RTK,RTH2::L41 RTK3v2::CH02
悼,mourn / lament,1757,1800,621,"dào: to mourn, to lament",state of mind + eminent,⿰ (left-right),⿰忄卓,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">卓</span> <span style=""color:#666"">eminent</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
情,feelings,1154,1213,1537,"qíng: feeling, emotion, passion, situation",state of mind + telescope,⿰ (left-right),⿰忄青,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">青</span> <span style=""color:#666"">blue or green</span> <span style=""color:#999"">(alias: telescope)</span>",RSH RTH RTK,RSH1::L39 RTH1::L39 RTK1v5::L40
惇,considerate,,,2279,,heart + enjoy,⿰ (left-right),⿰忄享,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">享</span> <span style=""color:#666"">enjoy</span>",RTK,RTK3v2::CH02
惊,startled,,579,,"jīng: to start, to be frightened, to be scared, alarm",state of mind + capitol building,⿰ (left-right),⿰忄京,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">京</span> <span style=""color:#666"">capital</span> <span style=""color:#999"">(alias: capitol building)</span>",RSH,RSH1::L21
惑,be bewildered / beguile,1770,1792,614,"huò: to confuse, to be puzzled",or + heart,⿱ (top-bottom),⿱或心,"<span style=""color:#1a5276"">或</span> <span style=""color:#666"">or</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
惕,watchful,2078,2133,,"tì: fearful, respectful",state of mind + easy,⿰ (left-right),⿰忄易,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">易</span> <span style=""color:#666"">easy</span>",RSH RTH,RSH2::L28 RTH2::L28
惚,infatuation,,,2277,,heart + suddenly,⿰ (left-right),⿰忄忽,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">忽</span> <span style=""color:#666"">suddenly</span>",RTK,RTK3v2::CH02
惜,rue / pity,2171,2239,1187,"xī: pity, regret, to rue, to begrudge",state of mind + times past,⿰ (left-right),⿰忄昔,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">昔</span> <span style=""color:#666"">times past</span>",RSH RTH RTK,RSH2::L31 RTH2::L31 RTK1v5::L32
惟,thinking / ponder,1779,1817,2276,"wéi: -ism, only",state of mind + turkey,⿰ (left-right),⿰忄隹,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">隹</span> <span style=""color:#666"">turkey</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK3v2::CH02
惠,favor,2943,1794,,"huì: favor, benefit, to give sb property or advantage, honorific",one + day + insect + heart,⿱ (top-bottom),⿱{7}心,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun, tongue wagging in the mouth)</span><br><span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH,RSH2::L21 RTH2::L55
惡,evil,1314,,,"ě: see 惡心|恶心[ě xīn] | è: evil, fierce, vicious, ugly | wù: to hate, to loathe, ashamed, to fear",{40} + floor + dropdrop + hook + eyedropper + eyedropper,⿱ (top-bottom),⿱亞心,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTH,RTH1::L47
惣,firstborn son,,,2432,,thing + dropdrop + hook + eyedropper + eyedropper,⿱ (top-bottom),⿱物心,"<span style=""color:#1a5276"">物</span> <span style=""color:#666"">thing</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RTK,RTK3v2::CH02
惧,be frightened / disquieting,,1801,3015,jù: to fear,state of mind + tool,⿰ (left-right),⿰忄具,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">囧具－目</span> <span style=""color:#666"">tool</span>",RSH RTK,RSH2::L21 RTK1v5::Sup.
惨,wretched,,1311,1721,"cǎn: miserable, wretched, cruel, inhuman",state of mind + brawl,⿰ (left-right),⿰忄参,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">参</span> <span style=""color:#666"">participate</span> <span style=""color:#999"">(alias: brawl)</span>",RSH RTK,RSH1::L44 RTK1v5::L45
惩,chasten,,1994,,"chéng: to punish, to reprimand, to warn",solicit + heart,⿱ (top-bottom),⿱征心,"<span style=""color:#1a5276"">征</span> <span style=""color:#666"">solicit</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH,RSH2::L24
惭,conscience-stricken,,2189,,cán: ashamed,state of mind + hew,⿰ (left-right),⿰忄斩,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">斩</span> <span style=""color:#666"">hew</span>",RSH,RSH2::L30
惯,accustomed to,,582,,"guàn: accustomed to, used to, indulge, to spoil (a child)",state of mind + pierce,⿰ (left-right),⿰忄贯,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">贯</span> <span style=""color:#666"">pierce</span>",RSH,RSH1::L21
惰,indolent / lazy,1762,1803,629,duò: lazy,state of mind + left + flesh,⿰ (left-right),⿰忄⿱左⺝,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">左</span> <span style=""color:#666"">left</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
惱,annoyed,1467,,,nǎo: to get angry,heart + 𡿨 + 𡿨 + 𡿨 + Farmer’s Almanac,⿰ (left-right),⿰忄𡿺,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">囟</span> <span style=""color:#666"">Farmer’s Almanac</span>",RTH,RTH1::L55
想,think / concept,537,573,609,"xiǎng: to think, to believe, to suppose, to wish",one another + heart,⿱ (top-bottom),⿱相心,"<span style=""color:#1a5276"">相</span> <span style=""color:#666"">one another</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH1::L21 RTH1::L21 RTK1v5::L22
惶,fearful,1767,1805,,huáng: frightened,state of mind + emperor,⿰ (left-right),⿰忄皇,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">皇</span> <span style=""color:#666"">emperor</span>",RSH RTH,RSH2::L21 RTH2::L21
惹,provoke / attract,1782,1797,2429,"rě: to provoke, to irritate, to vex, to stir up",Disneyland + heart,⿱ (top-bottom),⿱若心,"<span style=""color:#1a5276"">囧若</span> <span style=""color:#666"">Disneyland</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK3v2::CH02
愁,gloomy / distress,715,769,901,chóu: to worry about,autumn + heart,⿱ (top-bottom),⿱秋心,"<span style=""color:#1a5276"">秋</span> <span style=""color:#666"">autumn</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
愈,more and more / in the nick of time,1769,1793,2433,"yù: the more...(the more...), to recover, to heal, better",slaughterhouse + heart,⿱ (top-bottom),⿱俞心,"<span style=""color:#1a5276"">俞</span> <span style=""color:#666"">slaughterhouse</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK3v2::CH02
愉,overjoyed / pleasure,1768,1810,628,yú: pleased,slaughterhouse + state of mind,⿰ (left-right),⿰忄俞,"<span style=""color:#1a5276"">俞</span> <span style=""color:#666"">slaughterhouse</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span>",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
意,idea,536,572,608,"Yì: Italy, Italian, abbr. for 意大利[Yì dà lì] | yì: idea, meaning, thought, to think",sound + heart,⿱ (top-bottom),⿱音心,"<span style=""color:#1a5276"">音</span> <span style=""color:#666"">sound</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH1::L21 RTH1::L21 RTK1v5::L22
愕,stunned,2875,2292,,è: startled,state of mind + chatterbox + snake hook,⿰ (left-right),⿰忄咢,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">吅</span> <span style=""color:#666"">chatterbox</span> <span style=""color:#999"">(alias: windup teeth)</span><br><span style=""color:#1a5276"">亏</span> <span style=""color:#666"">loss</span> <span style=""color:#999"">(alias: snake hook)</span>",RSH RTH,RSH2::L32 RTH2::L53
愚,pea-brained / foolish,2822,2877,1957,"yú: to be stupid, to cheat or deceive, me or I (modest)",Talking Cricket + heart,⿱ (top-bottom),⿱禺心,"<span style=""color:#1a5276"">禺</span> <span style=""color:#666"">Talking Cricket</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH RTK,RSH2::L52 RTH2::L52 RTK1v5::L53
