character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
坑,pit,295,323,306,"kēng: hole, pit, tunnel, to defraud",whirlwind + soil,⿰ (left-right),⿰土亢,"亢 = whirlwind, 土 = soil",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK1v5::L14
坚,firm,,1013,,"jiān: strong, solid, firm, unyielding",fencing foil + again + soil,⿱ (top-bottom),⿱𰀡土,"囧坚－圣 = fencing foil, 又 = again, 土 = soil",RSH,RSH1::L32 primitive
坤,female / autochthonous,2113,2175,2184,"kūn: one of the Eight Trigrams 八卦[bā guà], symbolizing earth, female principle, ☷",soil + monkey,⿰ (left-right),⿰土申,"土 = soil, 猴 = monkey",RSH RTH RTK,RSH2::L29 RTH2::L29 RTK3v2::CH02
坦,level / flat,1526,1539,2188,"tǎn: flat, open-hearted, level, smooth",soil + daybreak,⿰ (left-right),⿰土旦,"土 = soil, 旦 = daybreak",RSH RTH RTK,RSH2::L08 RTH2::L08 RTK3v2::CH02
坪,level ground / two-mat area,1105,1164,1486,píng: a plain,ground + water lily,⿰ (left-right),⿰土平,"地 = ground, 平 = water lily",RSH RTH RTK,RSH1::L38 RTH1::L38 RTK1v5::L39
垂,droop,1183,1243,1582,"chuí: to hang (down), droop, dangle, bend down",porter + silage,⿱ (top-bottom),⿱⿻千龷一,"壬 = porter, 囧垂－一－一 = silage",RSH RTH RTK,RSH1::L39 RTH1::L39 RTK1v5::L40
型,mold,577,619,680,"xíng: model, type (e.g. blood type)",punishment + soil,⿱ (top-bottom),⿱刑土,"刑 = punishment, 土 = soil",RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23
垢,blemish,,,2187,,floor + walking stick + floor + behind,⿰ (left-right),⿰土后,"一 = floor, 丨 = walking stick, 后 = behind",RTK,RTK3v2::CH02
垣,hedge,,,154,,floor + walking stick + floor + floor + daybreak,⿰ (left-right),⿰土亘,"一 = floor, 丨 = walking stick, 旦 = daybreak",RTK,RTK1v5::L08
埋,bury,171,181,179,mái: to bury | mán: to blame,ground + computer + dirt,⿰ (left-right),⿰土里,"地 = ground, 里 = computer, 土 = dirt",RSH RTH RTK,RSH1::L09 RTH1::L09 RTK1v5::L09
城,city / castle,342,369,362,"chéng: city walls, city, town, CL:座[zuò],道[dào],個|个[gè]",dirt + turn into,⿰ (left-right),⿰土成,"土 = dirt, 成 = turn into",RSH RTH RTK,RSH1::L16 RTH1::L16 RTK1v5::L16
埜,plains [old],,,2979,,woods + floor + walking stick + floor,⿱ (top-bottom),⿱林土,"林 = woods, 一 = floor, 丨 = walking stick",RTK,RTK3v2::CH06
域,domain / range,1634,1662,356,"yù: field, region, area, domain (taxonomy)",land + or,⿰ (left-right),⿰土或,"陆 = land, 或 = or",RSH RTH RTK,RSH2::L16 RTH2::L16 RTK1v5::L16
埠,wharf,,,2189,,floor + walking stick + floor + maestro + floor + walking stick,⿰ (left-right),⿰土阜,"一 = floor, 丨 = walking stick, 𠂤 = maestro",RTK,RTK3v2::CH02
埴,clay,,,2183,,floor + walking stick + floor + straight,⿰ (left-right),⿰土直,"一 = floor, 丨 = walking stick, 直 = straight",RTK,RTK3v2::CH02
執,clench / tenacious,1128,,1506,"zhí: to execute (a plan), to grasp",good fortune + bottle of pills,⿰ (left-right),⿰幸{20},"幸 = good fortune, 丸 = bottle of pills",RTH RTK,RTH1::L38 RTK1v5::L39
培,cultivate,448,483,477,"péi: to cultivate, to earth up",muzzle + soil,⿰ (left-right),⿰土咅,"咅 = muzzle, 土 = soil",RSH RTH RTK,RSH1::L19 RTH1::L19 RTK1v5::L19
基,base / fundamentals,1289,1339,1767,"jī: base, foundation, basic, radical (chemistry)",hamper + soil,⿱ (top-bottom),⿱其土,"其 = hamper, 土 = soil",RSH RTH RTK,RSH1::L45 RTH1::L45 RTK1v5::L46
埼,cape,,,153,,floor + walking stick + floor + strange,⿰ (left-right),⿰土奇,"一 = floor, 丨 = walking stick, 奇 = strange",RTK,RTK1v5::L08
堀,ditch,,,1062,,floor + walking stick + floor + knuckle under,⿰ (left-right),⿰土屈,"一 = floor, 丨 = walking stick, 屈 = knuckle under",RTK,RTK1v5::L29
堂,main room / public chamber,655,706,798,"táng: (main) hall, large room for a specific purpose, relationship between cousins etc on the paternal side of a family, of the same clan",outhouse + soil,⿱ (top-bottom),⿱𫩠土,"囧赏－贝 = outhouse, 土 = soil",RSH RTH RTK,RSH1::L24 RTH1::L24 RTK1v5::L25
堅,firm / strict,686,,853,"jiān: strong, solid, firm, unyielding",box + walking stick + {50} + walking stick + right hand + floor + walking stick + floor,⿱ (top-bottom),⿱臤土,"匚 = box, 丨 = walking stick, 又 = right hand, 一 = floor",RTH RTK,RTH1::L24 RTK1v5::L25 primitive
堆,pile / piled high,1732,1765,2185,"duī: to pile up, to heap up, a mass, pile",soil + turkey,⿰ (left-right),⿰土隹,"土 = soil, 隹 = turkey",RSH RTH RTK,RSH2::L20 RTH2::L20 RTK3v2::CH02
堇,violet,,,,,salad + mouth + grow up,⿱ (top-bottom),⿱廿⿻口龶,"囧昔－日 = salad, 口 = mouth, 囧毒－母 = grow up",,primitive
堕,degenerate,,,1314,,pinnacle + possess + floor + walking stick + floor,⿱ (top-bottom),⿱陏土,"阝 = pinnacle, 有 = possess, 一 = floor, 丨 = walking stick",RTK,RTK1v5::L35
堤,dike,1645,1673,390,"dī: dike, Taiwan pr. [tí], variant of 堤[dī]",soil + be,⿰ (left-right),⿰土是,"土 = soil, 是 = be",RSH RTH RTK,RSH2::L17 RTH2::L17 RTK1v5::L17
堪,tolerate / withstand,2673,2740,1770,"kān: to endure, may, can",soil + Hercules,⿰ (left-right),⿰土甚,"土 = soil, 囧甚 = Hercules",RSH RTH RTK,RSH2::L45 RTH2::L45 RTK1v5::L46
堯,Yao,166,,,"Yáo: surname Yao, Yao or Tang Yao (c. 2200 BC), one of Five legendary Emperors 五帝, second son of Di Ku 帝嚳|帝喾",floor + walking stick + floor + floor + walking stick + floor + floor + walking stick + floor + floor + drop + hook,⿱ (top-bottom),⿱垚兀,"一 = floor, 丨 = walking stick, 丿 = drop, 乚 = hook",RTH,RTH1::L08 primitive
堰,dam,,,2191,,floor + walking stick + floor + box + pent in + floor + woman,⿰ (left-right),⿰土匽,"一 = floor, 丨 = walking stick, 匚 = box, 囗 = pent in, 女 = woman",RTK,RTK3v2::CH02
報,newspaper / report,1129,,1507,"bào: to announce, to inform, report, newspaper",good fortune + stamp + right hand,⿰ (left-right),⿰幸𠬝,"幸 = good fortune, 卩 = stamp, 又 = right hand",RTH RTK,RTH1::L38 RTK1v5::L39
場,site / location,493,,545,"cháng: threshing floor, classifier for events and happenings: spell, episode, bout | chǎng: large place used for a specific purpose, stage, scene (of a play), classifier for sporting or recreational activities",floor + walking stick + floor + daybreak + knot,⿰ (left-right),⿰土昜,"一 = floor, 丨 = walking stick, 旦 = daybreak, 勿 = knot",RTH RTK,RTH1::L20 RTK1v5::L21
堵,stop up / railing,2237,2306,2192,"dǔ: to stop up, (to feel) stifled or suffocated, wall, classifier for walls",soil + puppet,⿰ (left-right),⿰土者,"土 = soil, 者 = puppet",RSH RTH RTK,RSH2::L33 RTH2::L33 RTK3v2::CH02
塀,fence,,,1056,,floor + walking stick + floor + folding screen,⿰ (left-right),⿰土屏,"一 = floor, 丨 = walking stick, 屏 = folding screen",RTK,RTK1v5::L29
塁,bases,,,1734,,pent in + floor + walking stick + eyedropper + ㇀ + dropdrop + eyedropper + floor + walking stick + floor,⿳ (top-mid-bottom),⿳田{11}土,"囗 = pent in, 一 = floor, 丨 = walking stick, 丶 = eyedropper, ㇒ = dropdrop",RTK,RTK1v5::L45
塊,lump / clod,1443,,2024,"kuài: lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc",floor + walking stick + floor + ghost,⿰ (left-right),⿰土鬼,"一 = floor, 丨 = walking stick, 鬼 = ghost",RTH RTK,RTH1::L54 RTK1v5::L55
塑,plastic / model,2831,1941,1960,sù: to model (a figure) in clay,mountain goat + moon + soil,⿱ (top-bottom),⿱朔土,"屰 = mountain goat, 月 = moon, 土 = soil",RSH RTH RTK,RSH2::L23 RTH2::L52 RTK1v5::L53
塔,pagoda,247,264,254,"tǎ: pagoda, tower, minaret, stupa (abbr. loanword from Sanskrit tapo)",dirt + flower + fit,⿰ (left-right),⿰土荅,"土 = dirt, 艹 = flower, 合 = fit",RSH RTH RTK,RSH1::L12 RTH1::L12 RTK1v5::L12
塗,smear / paint,2582,,1663,"tú: to apply (paint etc), to smear, to daub, to blot out",smear + floor + walking stick + floor,⿱ (top-bottom),⿱涂土,"涂 = smear, 一 = floor, 丨 = walking stick",RTH RTK,RTH2::L42 RTK1v5::L43
塚,hillock,,,1039,,floor + walking stick + floor + crown + hog-tied,⿰ (left-right),⿰土冢,"一 = floor, 丨 = walking stick, 冖 = crown, 豖 = hog-tied",RTK,RTK1v5::L28
塞,stronghold / block up,2503,2564,2214,"Sāi: Serbia, Serbian, abbr. for 塞爾維亞|塞尔维亚[Sāi ěr wéi yà] | sāi: to stop up, to squeeze in, to stuff, cork | sài: strategic pass, tactical border position | sè: to stop up, to stuff, to cope with",hamster cage + soil,⿱ (top-bottom),⿱𡨄土,"囧赛－贝 = hamster cage, 土 = soil",RSH RTH RTK,RSH2::L38 RTH2::L38 RTK3v2::CH02
塩,salt,,,1458,,floor + walking stick + floor + dropdrop + floor + mouth + glass cover + floor + walking stick + walking stick,⿰ (left-right),⿰土𬐚,"一 = floor, 丨 = walking stick, ㇒ = dropdrop, 口 = mouth, 冂 = glass cover",RTK,RTK1v5::L38
填,fill in / stuff up,150,162,2190,"tián: to fill or stuff, (of a form etc) to fill in",true + dirt,⿰ (left-right),⿰土真,"真 = true, 土 = dirt",RSH RTH RTK,RSH1::L08 RTH1::L08 RTK3v2::CH02
塵,dust,1429,,2838,"chén: dust, dirt, earth",deer + floor + walking stick + floor,⿸ (top-left-wrap),⿸鹿土,"鹿 = deer, 一 = floor, 丨 = walking stick",RTH RTK,RTH1::L53 RTK3v2::CH02
塾,cram school,,,309,,enjoy + bottle of pills + floor + walking stick + floor,⿱ (top-bottom),⿱孰土,"享 = enjoy, 丸 = bottle of pills, 一 = floor, 丨 = walking stick",RTK,RTK1v5::L14
境,boundary,456,489,484,"jìng: border, place, condition, boundary",land + mirror,⿰ (left-right),⿰土竟,"陆 = land, 镜 = mirror",RSH RTH RTK,RSH1::L19 RTH1::L19 RTK1v5::L19
墓,grave,220,234,231,"mù: grave, tomb, mausoleum",soil + graveyard,⿱ (top-bottom),⿱莫土,"土 = soil, 莫 = graveyard",RSH RTH RTK,RSH1::L10 RTH1::L10 RTK1v5::L10
増,increase,,,502,,floor + walking stick + floor + animal horns + pent in + floor + walking stick + pent in + floor,⿰ (left-right),⿰土曽,"一 = floor, 丨 = walking stick, 丷 = animal horns, 囗 = pent in",RTK,RTK1v5::L19
墜,plunge / crash,2283,,1307,"zhuì: to fall, to drop, to weigh down",pinnacle + animal horns + floor + ㇯ + floor + walking stick + floor,⿱ (top-bottom),⿱隊土,"阝 = pinnacle, 丷 = animal horns, 一 = floor, 丨 = walking stick",RTH RTK,RTH2::L34 RTK1v5::L35
墨,black ink,174,183,175,"Mò: surname Mo, abbr. for 墨西哥[Mò xī gē], Mexico | mò: ink stick, China ink, CL:塊|块[kuài], corporal punishment consisting of tattooing characters on the victim's forehead",dirt,⿱ (top-bottom),⿱黑土,土 = dirt,RSH RTH RTK,RSH1::L09 RTH1::L09 RTK1v5::L09
墳,tomb,1834,,1198,"fén: grave, tomb, CL:座[zuò], embankment",floor + walking stick + floor + haystack + pent in + floor + floor + drop + ㇏,⿰ (left-right),⿰土賁,"一 = floor, 丨 = walking stick, 卉 = haystack, 囗 = pent in, 丿 = drop",RTH RTK,RTH2::L22 RTK1v5::L32
墾,reclaim / groundbreaking,2445,,1971,"kěn: to reclaim (land), to cultivate",leopard + 𠄌 + {50} + floor + {24} + floor + walking stick + floor,⿱ (top-bottom),⿱貇土,"豸 = leopard, 一 = floor, 丨 = walking stick",RTH RTK,RTH2::L37 RTK1v5::L53
壁,partition / wall,1121,1188,1500,"bì: wall, rampart",hot sauce + ground,⿱ (top-bottom),⿱辟土,"辟 = hot sauce, 地 = ground",RSH RTH RTK,RSH1::L38 RTH1::L38 RTK1v5::L39
壇,altar / podium,1826,,587,tán: altar,floor + walking stick + floor + Mr. Hyde,⿰ (left-right),⿰土亶,"一 = floor, 丨 = walking stick, 亶 = Mr. Hyde",RTH RTK,RTH2::L22 RTK1v5::L22
壊,demolition,,,400,,floor + walking stick + floor + floor + walking stick + pent in + walking stick + walking stick + cloak,⿰ (left-right),⿰土⿱十𭾱,"一 = floor, 丨 = walking stick, 囗 = pent in, 衣 = cloak",RTK,RTK1v5::L18
壌,lot,,,1529,,floor + walking stick + floor + six + floor + floor + walking stick + walking stick + floor + cloak,⿰ (left-right),⿰土㐮,"一 = floor, 丨 = walking stick, 六 = six, 𧘇 = cloak",RTK,RTK1v5::L39
壕,dugout,,,2186,,floor + walking stick + floor + unrestrained,⿰ (left-right),⿰土豪,"一 = floor, 丨 = walking stick, 豪 = unrestrained",RTK,RTK3v2::CH02
士,soldier / gentleman,307,334,319,"shì: member of the senior ministerial class (old), scholar (old), bachelor, honorific",floor + walking stick + floor,⿻ (overlaid),⿻一丄,"一 = floor, 丨 = walking stick",RSH RTH RTK,RSH1::L14 RTH1::L14 RTK1v5::L14
壬,porter,,,,"rén: ninth of 10 heavenly stems 十天干, ninth in order, letter ""I"" or roman ""IX"" in list ""A, B, C"", or ""I, II, III"" etc, nona",soldier,⿱ (top-bottom),⿱㇒士,士 = soldier,,primitive
壮,robust,,336,321,"Zhuàng: Zhuang ethnic group of Guangxi, the PRC's second most numerous ethnic group, Zhuang: Bouxcuengh | zhuàng: to strengthen, strong, robust",turtle + soldier,⿰ (left-right),⿰丬士,"兆 = turtle, 士 = soldier",RSH RTK,RSH1::L14 RTK1v5::L14
声,voice,,1411,1896,"shēng: sound, voice, tone, noise",soldier + flag,⿱ (top-bottom),⿱士𠃜,"士 = soldier, 旗 = flag",RSH RTK,RSH1::L50 RTK1v5::L51
壱,I (one),,,457,,floor + walking stick + floor + crown + hook + dropdrop,⿱ (top-bottom),⿱⿱士冖匕,"一 = floor, 丨 = walking stick, 冖 = crown, 乚 = hook, ㇒ = dropdrop",RTK,RTK1v5::L18
売,sell,,,323,,floor + walking stick + floor + crown + drop + hook,⿱ (top-bottom),⿱⿱士冖儿,"一 = floor, 丨 = walking stick, 冖 = crown, 丿 = drop, 乚 = hook",RTK,RTK1v5::L14
壴,drum,,,,zhù: (archaic) drum,soldier + table,⿳ (top-mid-bottom),⿳士口䒑,"士 = soldier, 豆 = table",,primitive
壷,crock,,,2904,,floor + walking stick + floor + crown + mouth + walking stick + walking stick + floor,⿱ (top-bottom),⿱士⿱冖{78},"一 = floor, 丨 = walking stick, 冖 = crown, 口 = mouth",RTK,RTK3v2::CH03
壽,longevity / longevity [old],2752,,2995,"shòu: long life, old age, age, life",floor + walking stick + floor + beret + floor + walking stick + floor + floor + mouth + glue,⿳ (top-mid-bottom),⿳⿳士乛工一吋,"一 = floor, 丨 = walking stick, 乛 = beret, 口 = mouth, 寸 = glue",RTH RTK,L # RTH2::L49 RTH2::L49 RTK3v2::CH06 primitive
夂,walking legs,,,,"zhǐ: walk slowly component in Chinese characters, see also 冬字頭|冬字头[dōng zì tóu]",,,夂,,,primitive
夆,briar,,,,féng: to butt (as horned animals),bushes + walking legs,⿱ (top-bottom),⿱夂丰,"丰 = bushes, 夂 = walking legs",,primitive
変,unusual,,,1745,,top hat + walking stick + walking stick + drop + ㇏ + 夊,⿱ (top-bottom),⿱𰁜夊,"亠 = top hat, 丨 = walking stick, 丿 = drop",RTK,RTK1v5::L45
夋,streetwalker,,,,,consent + walking legs,⿳ (top-mid-bottom),⿳厶八夊,"允 = consent, 夂 = walking legs",,primitive
夌,Minuteclods,,,,"líng: to dawdle, the name of the father of the Emperor Yao",soil + animal legs + walking legs,⿱ (top-bottom),⿱{114}夊,"土 = soil, 囧只－口 = animal legs, 夂 = walking legs",,primitive
复,duplicate,,472,,"fù: to go and return, to return, to resume, to return to a normal or original state",reclining + day + walking legs,⿱ (top-bottom),⿱𭥍夊,"𠂉 = reclining, 日 = day, 夂 = walking legs",RSH,RSH1::L18 primitive
夏,summer,285,314,296,"Xià: the Xia or Hsia dynasty c. 2000 BC, Xia of the Sixteen Kingdoms (407-432), surname Xia | xià: summer",nose + ceiling + walking legs,⿱ (top-bottom),⿱𦣻夊,"鼻 = nose, 一 = ceiling, 夂 = walking legs",RSH RTH RTK,RSH1::L13 RTH1::L13 RTK1v5::L13
夕,evening,108,115,109,"xī: dusk, evening, Taiwan pr. [xì]",moon,⿴ (surround),⿴𠂊丶,月 = moon,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
外,outside,111,118,111,"wài: outside, in addition, foreign, external",evening + magic wand,⿰ (left-right),⿰夕卜,"夕 = evening, 卜 = magic wand",RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
夗,nameplate,,,,yuàn: to turn over when asleep,evening + fingerprint,⿰ (left-right),⿰夕㔾,"夕 = evening, 㔾 = fingerprint",,primitive
夙,earlybird,,,2141,,drop + hook + floor + evening,⿵ (surround-open-bottom),⿵𠘨歹,"丿 = drop, ⺄ = hook, 一 = floor, 夕 = evening",RTK,RTK3v2::CH02
多,many,109,116,108,"duō: many, much, a lot of, numerous",moon,⿱ (top-bottom),⿱夕夕,月 = moon,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
夜,night,807,872,1037,yè: night,top hat + person + walking legs + drop,⿱ (top-bottom),⿱亠⿰亻⿴夂丶,"亠 = top hat, 人 = person, 夂 = walking legs, 掉 = drop",RSH RTH RTK,RSH1::L27 RTH1::L27 RTK1v5::L28
夢,dream,294,,305,"mèng: dream, CL:場|场[cháng],個|个[gè]",floor + walking stick + walking stick + pent in + walking stick + walking stick + crown + evening,⿳ (top-mid-bottom),⿳⿱艹罒冖夕,"一 = floor, 丨 = walking stick, 囗 = pent in, 冖 = crown, 夕 = evening",RTH RTK,RTH1::L14 RTK1v5::L14
夥,partnership / plentiful,2116,,2943,"huǒ: companion, partner, group, classifier for groups of people",fruit + many,⿰ (left-right),⿰果多,"果 = fruit, 多 = many",RTH RTK,RTH2::L29 RTK3v2::CH03
大,large,106,113,107,"dài: see 大夫[dài fu] | dà: big, huge, large, major",floor + person,⿻ (overlaid),⿻一人,"一 = floor, 人 = person",RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07 primitive
天,heavens,403,436,428,"tiān: day, sky, heaven",ceiling + St. Bernard dog,⿱ (top-bottom),⿱一大,"一 = ceiling, 大 = St. Bernard dog",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK1v5::L18 primitive
太,overly / plump,120,131,120,"tài: highest, greatest, too (much), very",St. Bernard dog + a drop of,⿵ (surround-open-bottom),⿵大丶,"大 = St. Bernard dog, 丶 = a drop of",RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
夫,husband,679,726,838,"fū: husband, man, manual worker, conscripted laborer (old) | fú: (classical) this, that, he, she, they, (exclamatory final particle), (initial particle, introduces an opinion)",large,⿻ (overlaid),⿻二人,大 = large,RSH RTH RTK,RSH1::L24 RTH1::L24 RTK1v5::L25
夬,guillotine,,,,guài: decisive,key + St. Bernard dog,⿻ (overlaid),⿻{14}人,"囧侯－亻－矢 = key, 大 = St. Bernard dog",,primitive
央,center,1277,1324,1740,"yāng: beg, center",St. Bernard dog,⿻ (overlaid),⿻𠀃人,大 = St. Bernard dog,RSH RTH RTK,RSH1::L44 RTH1::L44 RTK1v5::L45
失,lose,682,729,845,"shī: to lose, to miss, to fail",husband + a drop of,⿰ (left-right),⿰㇒夫,"夫 = husband, 丶 = a drop of",RSH RTH RTK,RSH1::L24 RTH1::L24 RTK1v5::L25
头,head,,856,,"tóu: head, hair style, the top, end | tou: suff. for nouns",St. Bernard dog + ice,⿻ (overlaid),⿻⺀大,"大 = St. Bernard dog, 冫 = ice",RSH,RSH1::L27 primitive
夷,barbarian / ebisu,2213,2270,2881,"yí: non-Han people, esp. to the East of China, barbarians, to wipe out, to exterminate",St. Bernard dog + bow,⿻ (overlaid),⿻大弓,"大 = St. Bernard dog, 弓 = bow",RSH RTH RTK,RSH2::L32 RTH2::L32 RTK3v2::CH03
奂,first-class,,,,,bound up + center,⿳ (top-mid-bottom),⿳⺈冂大,"勹 = bound up, 央 = center",,primitive
奄,encompassing,,,2055,,electricity + large,⿱ (top-bottom),⿱大电,"电 = electricity, 大 = large",RTK,RTK3v2::CH01 primitive
奇,strange,122,133,126,"jī: odd (number) | qí: strange, odd, weird, wonderful",St. Bernard dog + can + mouth + nail,⿱ (top-bottom),⿱大可,"大 = St. Bernard dog, 可 = can, 口 = mouth, 钉 = nail",RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
奈,can't help but / Nara,2099,2158,1094,nài: how can one help,St. Bernard dog + altar,⿱ (top-bottom),⿱大示,"大 = St. Bernard dog, 坛 = altar",RSH RTH RTK,RSH2::L29 RTH2::L29 RTK1v5::L30
奉,proffer / dedicate,1173,1234,1573,"fèng: to offer (tribute), to present respectfully (to superior, ancestor, deity etc), to esteem, to revere",bonsai + cornstalk,⿱ (top-bottom),⿱𡗗𰀁,"𡗗 = bonsai, 囧奉－𡗗 = cornstalk",RSH RTH RTK,RSH1::L39 RTH1::L39 RTK1v5::L40
奎,Andromeda,,,2932,,floor + person + bricks,⿱ (top-bottom),⿱大圭,"一 = floor, 人 = person, 圭 = bricks",RTK,RTK3v2::CH03
奏,play an instrument / play music,2527,2596,1571,"zòu: to play music, to achieve, to present a memorial to the emperor (old)",bonsai + heavens,⿱ (top-bottom),⿱𡗗天,"𡗗 = bonsai, 天 = heavens",RSH RTH RTK,RSH2::L39 RTH2::L39 RTK1v5::L40
契,contract / pledge,2518,2581,1549,"qì: to carve, carved words, to agree, a contract",bushes + sword + St. Bernard dog,⿱ (top-bottom),⿱㓞大,"丰 = bushes, 刀 = sword, 大 = St. Bernard dog",RSH RTH RTK,RSH2::L39 RTH2::L39 RTK1v5::L40
奔,dash / bustle,1832,1872,1196,"bēn: to hurry, to rush, to run quickly, to elope | bèn: to go to, to head for, towards",St. Bernard dog + haystack,⿱ (top-bottom),⿱大卉,"大 = St. Bernard dog, 卉 = haystack",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK1v5::L32
套,cover / hackneyed,1390,1498,2901,"tào: cover, sheath, to encase, a case",St. Bernard dog + staples + wall,⿱ (top-bottom),⿱大镸,"大 = St. Bernard dog, 囧印－卩 = staples, 囧会－亼 = wall",RSH RTH RTK,RSH1::L55 RTH1::L51 RTK3v2::CH03
奥,of great depth / core,,2031,928,"Ào: Austria, Austrian, abbr. for 奧地利|奥地利[Ào dì lì], Olympic | ào: obscure, mysterious",a drop of + helmet + rice + St. Bernard dog,⿳ (top-mid-bottom),⿳㇒𭁨大,"丶 = a drop of, 冂 = helmet, 米 = rice, 大 = St. Bernard dog",RSH RTK,RSH2::L25 RTK1v5::L26
奨,exhort,,,732,,General + floor + person,⿱ (top-bottom),⿱将大,"将 = General, 一 = floor, 人 = person",RTK,RTK1v5::L23
奪,take by force / rob,1743,,566,"duó: to seize, to take away forcibly, to wrest control of, to compete or strive for",floor + person + dropdrop + walking stick + eyedropper + floor + walking stick + floor + two + glue,⿱ (top-bottom),⿱奞寸,"一 = floor, 人 = person, ㇒ = dropdrop, 丨 = walking stick, 丶 = eyedropper, 二 = two, 寸 = glue",RTH RTK,RTH2::L20 RTK1v5::L21
奮,exert oneself / stirred up,1742,,565,fèn: exert oneself,floor + person + dropdrop + walking stick + eyedropper + floor + walking stick + floor + two + pent in + floor + walking stick,⿱ (top-bottom),⿱奞田,"一 = floor, 人 = person, ㇒ = dropdrop, 丨 = walking stick, 丶 = eyedropper, 二 = two, 囗 = pent in",RTH RTK,RTH2::L20 RTK1v5::L21
女,woman,96,102,98,"rǔ: archaic variant of 汝[rǔ] | nǚ: female, woman, daughter",,,女,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06 primitive
奴,slave / guy,693,747,702,nú: slave,woman + crotch,⿰ (left-right),⿰女又,"女 = woman, 又 = crotch",RSH RTH RTK,RSH1::L24 RTH1::L24 RTK1v5::L23
好,good / fond,97,103,99,"hǎo: good, well, proper, good to | hào: to be fond of, to have a tendency to, to be prone to",woman + child,⿰ (left-right),⿰女子,"女 = woman, 子 = child",RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
如,be like / likeness,98,104,100,"rú: as, as if, such as",mouth + woman,⿰ (left-right),⿰女口,"口 = mouth, 女 = woman",RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
妃,queen,,,527,,woman + snake,⿰ (left-right),⿰女己,"女 = woman, 己 = snake",RTK,RTK1v5::L21
妄,absurd / delusion,459,492,487,"wàng: absurd, fantastic, presumptuous, rash",woman + perish,⿱ (top-bottom),⿱亡女,"女 = woman, 亡 = perish",RSH RTH RTK,RSH1::L19 RTH1::L19 RTK1v5::L19
妊,pregnancy,,,507,,woman + porter,⿰ (left-right),⿰女壬,"女 = woman, 壬 = porter",RTK,RTK1v5::L19
妓,prostitute / courtesan,1849,1891,2199,jì: prostitute,woman + branch,⿰ (left-right),⿰女支,"女 = woman, 枝 = branch",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK3v2::CH02
妖,bewitching / bewitched,1668,1696,2078,"yāo: goblin, witch, devil, bewitching",woman + die young,⿰ (left-right),⿰女夭,"女 = woman, 夭 = die young",RSH RTH RTK,RSH2::L18 RTH2::L18 RTK3v2::CH01
妙,wonderful / exquisite,116,127,123,"miào: clever, wonderful",woman + few,⿰ (left-right),⿰女少,"女 = woman, 少 = few",RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
妥,appropriate / gentle,1859,1901,728,"tuǒ: suitable, adequate, ready, settled",vulture + woman,⿱ (top-bottom),⿱爫女,"爪 = vulture, 女 = woman",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK1v5::L23
妨,hinder / disturb,462,495,491,"fáng: to hinder, (in the negative or interrogative) (no) harm, (what) harm",compass + woman,⿰ (left-right),⿰女方,"方 = compass, 女 = woman",RSH RTH RTK,RSH1::L19 RTH1::L19 RTK1v5::L19
妬,jealous,,,2195,,woman + stone,⿰ (left-right),⿰女石,"女 = woman, 石 = stone",RTK,RTK3v2::CH02
妹,younger sister,206,219,220,mèi: younger sister,woman + not yet,⿰ (left-right),⿰女未,"女 = woman, 未 = not yet",RSH RTH RTK,RSH1::L10 RTH1::L10 RTK1v5::L10
妻,wife,2136,2209,1889,qī: wife | qì: to marry off (a daughter),needle + rake + woman,⿱ (top-bottom),⿱⿻⿱一{43}丨女,"针 = needle, 肀 = rake, 女 = woman",RSH RTH RTK,RSH2::L30 RTH2::L30 RTK1v5::L51
妾,concubine,,,2622,,top hat + animal horns + floor + woman,⿱ (top-bottom),⿱立女,"亠 = top hat, 丷 = animal horns, 一 = floor, 女 = woman",RTK,RTK3v2::CH02
姉,elder sister,,,413,,woman + floor + glass cover + walking stick,⿰ (left-right),⿰女巿,"女 = woman, 一 = floor, 冂 = glass cover, 丨 = walking stick",RTK,RTK1v5::L18
始,commence,623,674,747,"shǐ: to begin, to start, then, only then",woman + platform,⿰ (left-right),⿰女台,"女 = woman, 台 = platform",RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23
